Data,Chuva-Itajuba ,Nível-Itajuba,Chuva -Maria,Nível-Maria,Chuva-Wenceslau,Nível-Wenceslau,Chuva -Delfim1,Nível-Delfim1,Chuva-Delfim2 ,Nível-Delfim2
2022-12-17 23:45:00,0.0,91,,,,,0.0,338.0,0.0,262.0
2022-12-17 23:30:00,0.0,91,,,,,0.0,338.0,0.0,262.0
2022-12-17 23:15:00,0.0,91,,,,,0.0,336.0,0.0,262.0
2022-12-17 23:00:00,0.0,92,0.0,89343.0,0.0,52.0,0.0,336.0,0.0,262.0
2022-12-17 22:45:00,0.0,92,,,,,0.0,338.0,0.0,262.0
2022-12-17 22:30:00,0.0,92,,,,,0.0,337.0,0.0,262.0
2022-12-17 22:15:00,0.0,93,,,,,0.0,336.0,0.0,262.0
2022-12-17 22:00:00,0.0,93,0.0,89344.0,0.0,52.0,0.0,337.0,0.0,262.0
2022-12-17 21:45:00,0.0,94,,,,,0.0,338.0,0.0,262.0
2022-12-17 21:30:00,0.0,94,,,,,0.0,336.0,0.0,263.0
2022-12-17 21:15:00,0.0,94,,,,,0.0,338.0,0.0,263.0
2022-12-17 21:00:00,0.2,95,0.0,89345.0,0.0,52.0,0.0,338.0,0.0,263.0
2022-12-17 20:45:00,0.0,95,,,,,0.0,338.0,0.0,263.0
2022-12-17 20:30:00,0.0,95,,,,,0.0,337.0,0.0,263.0
2022-12-17 20:15:00,0.0,96,,,,,0.0,339.0,0.0,263.0
2022-12-17 20:00:00,0.0,96,0.0,89346.0,0.0,52.0,0.0,338.0,0.0,263.0
2022-12-17 19:45:00,0.0,96,,,,,0.0,338.0,0.0,263.0
2022-12-17 19:30:00,0.0,97,,,,,0.0,338.0,0.0,264.0
2022-12-17 19:15:00,0.0,97,,,,,0.0,338.0,0.0,264.0
2022-12-17 19:00:00,0.0,98,0.0,89347.0,2.0,53.0,0.0,342.0,0.0,264.0
2022-12-17 18:45:00,0.0,98,,,,,0.0,339.0,0.0,264.0
2022-12-17 18:30:00,0.0,99,,,,,0.0,338.0,0.0,264.0
2022-12-17 18:15:00,0.0,99,,,,,0.0,340.0,0.0,264.0
2022-12-17 18:00:00,0.0,100,0.0,89352.0,0.0,53.0,0.0,340.0,0.0,265.0
