Data,Chuva ,Nível
21/02/2020 23:45,0,278
21/02/2020 23:30,0,279
21/02/2020 23:15,0,280
21/02/2020 23:00,0,280
21/02/2020 22:45,0,281
21/02/2020 22:30,0,282
21/02/2020 22:15,0,282
21/02/2020 22:00,0,283
21/02/2020 21:45,0,283
21/02/2020 21:30,0.25,284
21/02/2020 21:15,1,283
21/02/2020 21:00,0.75,283
21/02/2020 20:45,0,282
21/02/2020 20:30,0,282
21/02/2020 20:15,0,281
21/02/2020 20:00,0,280
21/02/2020 19:45,0,278
21/02/2020 19:30,0,277
21/02/2020 19:15,0,276
21/02/2020 19:00,0,275
21/02/2020 18:45,0,275
21/02/2020 18:30,0,274
21/02/2020 18:15,0,274
21/02/2020 18:00,0,273
21/02/2020 17:45,0,273
21/02/2020 17:30,0,274
21/02/2020 17:15,0,274
21/02/2020 17:00,0,275
21/02/2020 16:45,0,274
21/02/2020 16:30,0,272
21/02/2020 16:15,0,270
21/02/2020 16:00,0.25,270
21/02/2020 15:45,0.25,268
21/02/2020 15:30,0.75,266
21/02/2020 15:15,0.25,265
21/02/2020 15:00,0,265
21/02/2020 14:45,0.25,265
21/02/2020 14:30,0,265
21/02/2020 14:15,0.5,265
21/02/2020 14:00,0.5,78
21/02/2020 13:45,0.25,78
21/02/2020 13:30,0.25,78
21/02/2020 13:15,0.25,265
21/02/2020 13:00,0,265
21/02/2020 12:45,0,265
21/02/2020 12:30,0,265
21/02/2020 12:15,0,265
21/02/2020 12:00,0,265
21/02/2020 11:45,0,265
21/02/2020 11:30,0,265
21/02/2020 11:15,0,265
21/02/2020 11:00,0,265
21/02/2020 10:45,0,266
21/02/2020 10:30,0,266
21/02/2020 10:15,0,266
21/02/2020 10:00,0,266
21/02/2020 09:45,0,266
21/02/2020 09:30,0,266
21/02/2020 09:15,0,266
21/02/2020 09:00,0,266
21/02/2020 08:45,0,266
21/02/2020 08:30,0,267
21/02/2020 08:15,0,267
21/02/2020 08:00,0,267
21/02/2020 07:45,0,268
21/02/2020 07:30,0,268
21/02/2020 07:15,0,268
21/02/2020 07:00,0,268
21/02/2020 06:45,0,269
21/02/2020 06:30,0,269
21/02/2020 06:15,0,269
21/02/2020 06:00,0,270
21/02/2020 05:45,0,270
21/02/2020 05:30,0,271
21/02/2020 05:15,0,271
21/02/2020 05:00,0,272
21/02/2020 04:45,0,273
21/02/2020 04:30,0,273
21/02/2020 04:15,0,274
21/02/2020 04:00,0,274
21/02/2020 03:45,0,274
21/02/2020 03:30,0,273
21/02/2020 03:15,0,272
21/02/2020 03:00,0,271
21/02/2020 02:45,0,269
21/02/2020 02:30,0,268
21/02/2020 02:15,0,266
21/02/2020 02:00,0,265
21/02/2020 01:45,0,264
21/02/2020 01:30,0,263
21/02/2020 01:15,0,263
21/02/2020 01:00,0,263
21/02/2020 00:45,0,264
21/02/2020 00:30,0,264
21/02/2020 00:15,0,264
21/02/2020 00:00,0,264
20/02/2020 23:45,0,264
20/02/2020 23:30,0,265
20/02/2020 23:15,0,265
20/02/2020 23:00,0,265
20/02/2020 22:45,0,265
20/02/2020 22:30,0,265
20/02/2020 22:15,0,265
20/02/2020 22:00,0,265
20/02/2020 21:45,0,265
20/02/2020 21:30,0,265
20/02/2020 21:15,0,265
20/02/2020 21:00,0,265
20/02/2020 20:45,0,264
20/02/2020 20:30,0,264
20/02/2020 20:15,0,264
20/02/2020 20:00,0,264
20/02/2020 19:45,0,264
20/02/2020 19:30,0,264
20/02/2020 19:15,0,265
20/02/2020 19:00,0,265
20/02/2020 18:45,0,265
20/02/2020 18:30,0,265
20/02/2020 18:15,0,265
20/02/2020 18:00,0,265
20/02/2020 17:45,0,265
20/02/2020 17:30,0,265
20/02/2020 17:15,0,265
20/02/2020 17:00,0,265
20/02/2020 16:45,0,265
20/02/2020 16:30,0,265
20/02/2020 16:15,0,265
20/02/2020 16:00,0,266
20/02/2020 15:45,0,266
20/02/2020 15:30,0,266
20/02/2020 15:15,0,266
20/02/2020 15:00,0,266
20/02/2020 14:45,0,266
20/02/2020 14:30,0,266
20/02/2020 14:15,0,266
20/02/2020 14:00,0,266
20/02/2020 13:45,0,267
20/02/2020 13:30,0,267
20/02/2020 13:15,0,267
20/02/2020 13:00,0,267
20/02/2020 12:45,0,267
20/02/2020 12:30,0,267
20/02/2020 12:15,0,267
20/02/2020 12:00,0,267
20/02/2020 11:45,0,267
20/02/2020 11:30,0,267
20/02/2020 11:15,0,268
20/02/2020 11:00,0,268
20/02/2020 10:45,0,268
20/02/2020 10:30,0,268
20/02/2020 10:15,0,268
20/02/2020 10:00,0,268
20/02/2020 09:45,0,269
20/02/2020 09:30,0,269
20/02/2020 09:15,0,269
20/02/2020 09:00,0,269
20/02/2020 08:45,0,269
20/02/2020 08:30,0,269
20/02/2020 08:15,0,270
20/02/2020 08:00,0,270
20/02/2020 07:45,0,270
20/02/2020 07:30,0,271
20/02/2020 07:15,0,271
20/02/2020 07:00,0,272
20/02/2020 06:45,0,272
20/02/2020 06:30,0,273
20/02/2020 06:15,0,273
20/02/2020 06:00,0,274
20/02/2020 05:45,0,274
20/02/2020 05:30,0,275
20/02/2020 05:15,0,276
20/02/2020 05:00,0,277
20/02/2020 04:45,0,278
20/02/2020 04:30,0,280
20/02/2020 04:15,0,280
20/02/2020 04:00,0,282
20/02/2020 03:45,0,283
20/02/2020 03:30,0,285
20/02/2020 03:15,0,286
20/02/2020 03:00,0,287
20/02/2020 02:45,0,288
20/02/2020 02:30,0,288
20/02/2020 02:15,0,287
20/02/2020 02:00,0,287
20/02/2020 01:45,0,285
20/02/2020 01:30,0,283
20/02/2020 01:15,0,281
20/02/2020 01:00,0,278
20/02/2020 00:45,0,275
20/02/2020 00:30,0,273
20/02/2020 00:15,0,272
20/02/2020 00:00,0,272
19/02/2020 23:45,0.25,272
19/02/2020 23:30,0,274
19/02/2020 23:15,0,275
19/02/2020 23:00,0,276
19/02/2020 22:45,0,277
19/02/2020 22:30,0,276
19/02/2020 22:15,0,274
19/02/2020 22:00,0,269
19/02/2020 21:45,0,266
19/02/2020 21:30,0,264
19/02/2020 21:15,0,263
19/02/2020 21:00,0,262
19/02/2020 20:45,0,262
19/02/2020 20:30,0.25,262
19/02/2020 20:15,0.5,262
19/02/2020 20:00,0.5,262
19/02/2020 19:45,0,262
19/02/2020 19:30,0,263
19/02/2020 19:15,0,263
19/02/2020 19:00,0,263
19/02/2020 18:45,0,263
19/02/2020 18:30,0,263
19/02/2020 18:15,0,263
19/02/2020 18:00,0,263
19/02/2020 17:45,0,263
19/02/2020 17:30,0,264
19/02/2020 17:15,0,264
19/02/2020 17:00,0,264
19/02/2020 16:45,0,264
19/02/2020 16:30,0,264
19/02/2020 16:15,0,264
19/02/2020 16:00,0,264
19/02/2020 15:45,0,264
19/02/2020 15:30,0,264
19/02/2020 15:15,0,264
19/02/2020 15:00,0,264
19/02/2020 14:45,0,264
19/02/2020 14:30,0,264
19/02/2020 14:15,0,264
19/02/2020 14:00,0,264
19/02/2020 13:45,0,264
19/02/2020 13:30,0,264
19/02/2020 13:15,0,264
19/02/2020 13:00,0,264
19/02/2020 12:45,0,264
19/02/2020 12:30,0,264
19/02/2020 12:15,0,264
19/02/2020 12:00,0,264
19/02/2020 11:45,0,264
19/02/2020 11:30,0,264
19/02/2020 11:15,0,264
19/02/2020 11:00,0,264
19/02/2020 10:45,0,264
19/02/2020 10:30,0,264
19/02/2020 10:15,0,264
19/02/2020 10:00,0,264
19/02/2020 09:45,0,264
19/02/2020 09:30,0,264
19/02/2020 09:15,0,264
19/02/2020 09:00,0,264
19/02/2020 08:45,0,264
19/02/2020 08:30,0,264
19/02/2020 08:15,0,265
19/02/2020 08:00,0,264
19/02/2020 07:45,0,264
19/02/2020 07:30,0,265
19/02/2020 07:15,0,265
19/02/2020 07:00,0,265
19/02/2020 06:45,0,265
19/02/2020 06:30,0,265
19/02/2020 06:15,0,265
19/02/2020 06:00,0,265
19/02/2020 05:45,0,265
19/02/2020 05:30,0,265
19/02/2020 05:15,0,265
19/02/2020 05:00,0,265
19/02/2020 04:45,0,265
19/02/2020 04:30,0,265
19/02/2020 04:15,0,265
19/02/2020 04:00,0,265
19/02/2020 03:45,0,265
19/02/2020 03:30,0,266
19/02/2020 03:15,0,266
19/02/2020 03:00,0,266
19/02/2020 02:45,0,266
19/02/2020 02:30,0,266
19/02/2020 02:15,0,266
19/02/2020 02:00,0,266
19/02/2020 01:45,0,266
19/02/2020 01:30,0.25,267
19/02/2020 01:15,0,267
19/02/2020 01:00,0,267
19/02/2020 00:45,0,267
19/02/2020 00:30,0,267
19/02/2020 00:15,0,267
19/02/2020 00:00,0,267
18/02/2020 23:45,0,268
18/02/2020 23:30,0,268
18/02/2020 23:15,0,269
18/02/2020 23:00,0,269
18/02/2020 22:45,0,269
18/02/2020 22:30,0,270
18/02/2020 22:15,0,270
18/02/2020 22:00,0,271
18/02/2020 21:45,0,272
18/02/2020 21:30,0,272
18/02/2020 21:15,0,271
18/02/2020 21:00,0,268
18/02/2020 20:45,0,265
18/02/2020 20:30,0.75,265
18/02/2020 20:15,0,265
18/02/2020 20:00,0,265
18/02/2020 19:45,0,265
18/02/2020 19:30,0,265
18/02/2020 19:15,0,265
18/02/2020 19:00,0,265
18/02/2020 18:45,0,265
18/02/2020 18:30,0,265
18/02/2020 18:15,0,265
18/02/2020 18:00,0,265
18/02/2020 17:45,0,265
18/02/2020 17:30,0,266
18/02/2020 17:15,0,266
18/02/2020 17:00,0,266
18/02/2020 16:45,0,266
18/02/2020 16:30,0,266
18/02/2020 16:15,0,266
18/02/2020 16:00,0,266
18/02/2020 15:45,0,266
18/02/2020 15:30,0,266
18/02/2020 15:15,0,266
18/02/2020 15:00,0,266
18/02/2020 14:45,0,266
18/02/2020 14:30,0,266
18/02/2020 14:15,0,266
18/02/2020 14:00,0,266
18/02/2020 13:45,0,266
18/02/2020 13:30,0,266
18/02/2020 13:15,0,266
18/02/2020 13:00,0,266
18/02/2020 12:45,0,266
18/02/2020 12:30,0,266
18/02/2020 12:15,0,266
18/02/2020 12:00,0,266
18/02/2020 11:45,0,266
18/02/2020 11:30,0,266
18/02/2020 11:15,0,266
18/02/2020 11:00,0,266
18/02/2020 10:45,0,266
18/02/2020 10:30,0,266
18/02/2020 10:15,0,266
18/02/2020 10:00,0,266
18/02/2020 09:45,0,266
18/02/2020 09:30,0,266
18/02/2020 09:15,0,266
18/02/2020 09:00,0,266
18/02/2020 08:45,0,266
18/02/2020 08:30,0,266
18/02/2020 08:15,0,266
18/02/2020 08:00,0,266
18/02/2020 07:45,0,266
18/02/2020 07:30,0,266
18/02/2020 07:15,0,267
18/02/2020 07:00,0,267
18/02/2020 06:45,0,266
18/02/2020 06:30,0,267
18/02/2020 06:15,0,267
18/02/2020 06:00,0,267
18/02/2020 05:45,0,267
18/02/2020 05:30,0,267
18/02/2020 05:15,0,267
18/02/2020 05:00,0,267
18/02/2020 04:45,0,267
18/02/2020 04:30,0,267
18/02/2020 04:15,0,267
18/02/2020 04:00,0,267
18/02/2020 03:45,0,267
18/02/2020 03:30,0,267
18/02/2020 03:15,0,266
18/02/2020 03:00,0,266
18/02/2020 02:45,0,266
18/02/2020 02:30,0.25,266
18/02/2020 02:15,0,266
18/02/2020 02:00,0,266
18/02/2020 01:45,0,266
18/02/2020 01:30,0,266
18/02/2020 01:15,0,266
18/02/2020 01:00,0,266
18/02/2020 00:45,0,266
18/02/2020 00:30,0,266
18/02/2020 00:15,0,266
18/02/2020 00:00,0,266
17/02/2020 23:45,0,266
17/02/2020 23:30,0,266
17/02/2020 23:15,0,266
17/02/2020 23:00,0,266
17/02/2020 22:45,0,267
17/02/2020 22:30,0,267
17/02/2020 22:15,0,267
17/02/2020 22:00,0,267
17/02/2020 21:45,0,267
17/02/2020 21:30,0,267
17/02/2020 21:15,0,268
17/02/2020 21:00,0,268
17/02/2020 20:45,0,268
17/02/2020 20:30,0,268
17/02/2020 20:15,0,268
17/02/2020 20:00,0,268
17/02/2020 19:45,0,268
17/02/2020 19:30,0,269
17/02/2020 19:15,0,269
17/02/2020 19:00,0,269
17/02/2020 18:45,0,269
17/02/2020 18:30,0,269
17/02/2020 18:15,0,269
17/02/2020 18:00,0,269
17/02/2020 17:45,0,270
17/02/2020 17:30,0,270
17/02/2020 17:15,0,270
17/02/2020 17:00,0,270
17/02/2020 16:45,0,270
17/02/2020 16:30,0,270
17/02/2020 16:15,0,270
17/02/2020 16:00,0,271
17/02/2020 15:45,0,271
17/02/2020 15:30,0,271
17/02/2020 15:15,0,271
17/02/2020 15:00,0,271
17/02/2020 14:45,0,271
17/02/2020 14:30,0,271
17/02/2020 14:15,0,272
17/02/2020 14:00,0,272
17/02/2020 13:45,0,272
17/02/2020 13:30,0,272
17/02/2020 13:15,0,272
17/02/2020 13:00,0,272
17/02/2020 12:45,0,273
17/02/2020 12:30,0,273
17/02/2020 12:15,0,273
17/02/2020 12:00,0,273
17/02/2020 11:45,0,274
17/02/2020 11:30,0,274
17/02/2020 11:15,0,274
17/02/2020 11:00,0,275
17/02/2020 10:45,0,275
17/02/2020 10:30,0,276
17/02/2020 10:15,0,276
17/02/2020 10:00,0,276
17/02/2020 09:45,0,277
17/02/2020 09:30,0,278
17/02/2020 09:15,0,279
17/02/2020 09:00,0,280
17/02/2020 08:45,0,280
17/02/2020 08:30,0,282
17/02/2020 08:15,0,283
17/02/2020 08:00,0,285
17/02/2020 07:45,0,287
17/02/2020 07:30,0,288
17/02/2020 07:15,0,290
17/02/2020 07:00,0,291
17/02/2020 06:45,0,293
17/02/2020 06:30,0,294
17/02/2020 06:15,0,295
17/02/2020 06:00,0,295
17/02/2020 05:45,0,295
17/02/2020 05:30,0,295
17/02/2020 05:15,0,293
17/02/2020 05:00,0,292
17/02/2020 04:45,0,290
17/02/2020 04:30,0,288
17/02/2020 04:15,0,285
17/02/2020 04:00,0,281
17/02/2020 03:45,0,277
17/02/2020 03:30,0,272
17/02/2020 03:15,0,269
17/02/2020 03:00,0,268
17/02/2020 02:45,0,267
17/02/2020 02:30,0,267
17/02/2020 02:15,0,267
17/02/2020 02:00,0,267
17/02/2020 01:45,0,267
17/02/2020 01:30,0,267
17/02/2020 01:15,0,267
17/02/2020 01:00,0,267
17/02/2020 00:45,0,267
17/02/2020 00:30,0,267
17/02/2020 00:15,0,267
17/02/2020 00:00,0,267
16/02/2020 23:45,0,267
16/02/2020 23:30,0,267
16/02/2020 23:15,0,267
16/02/2020 23:00,0,267
16/02/2020 22:45,0,267
16/02/2020 22:30,0,267
16/02/2020 22:15,0,268
16/02/2020 22:00,0,268
16/02/2020 21:45,0,268
16/02/2020 21:30,0,268
16/02/2020 21:15,0,268
16/02/2020 21:00,0,268
16/02/2020 20:45,0,268
16/02/2020 20:30,0,268
16/02/2020 20:15,0,268
16/02/2020 20:00,0,268
16/02/2020 19:45,0,268
16/02/2020 19:30,0,268
16/02/2020 19:15,0,268
16/02/2020 19:00,0,269
16/02/2020 18:45,0,269
16/02/2020 18:30,0,269
16/02/2020 18:15,0,269
16/02/2020 18:00,0,269
16/02/2020 17:45,0,269
16/02/2020 17:30,0,269
16/02/2020 17:15,0,269
16/02/2020 17:00,0,269
16/02/2020 16:45,0,269
16/02/2020 16:30,0,269
16/02/2020 16:15,0,269
16/02/2020 16:00,0,269
16/02/2020 15:45,0,269
16/02/2020 15:30,0.25,269
16/02/2020 15:15,0,269
16/02/2020 15:00,0,269
16/02/2020 14:45,0,269
16/02/2020 14:30,0,269
