Data,Chuva -Maria,Nível-Maria
18/02/2020 06:00,0,89354
18/02/2020 05:30,,89350
18/02/2020 05:00,0,89347
18/02/2020 04:30,,89348
18/02/2020 04:00,0,89349
18/02/2020 03:30,,89350
18/02/2020 03:00,0,89352
18/02/2020 02:30,,89355
18/02/2020 02:00,0,89356
18/02/2020 01:30,,89358
18/02/2020 01:00,0,89357
18/02/2020 00:30,,89355
18/02/2020 00:00,0,89350
17/02/2020 23:30,,89346
17/02/2020 23:00,0,89344
17/02/2020 22:30,,89344
17/02/2020 22:00,0,89344
17/02/2020 21:30,,89345
17/02/2020 21:00,0,89345
17/02/2020 20:30,,89345
17/02/2020 20:00,0,89345
17/02/2020 19:30,,89346
17/02/2020 19:00,0,89346
17/02/2020 18:30,,89347
17/02/2020 18:00,0,89347
17/02/2020 17:30,,89347
17/02/2020 17:00,0,89348
17/02/2020 16:30,,89348
17/02/2020 16:00,0,89349
17/02/2020 15:30,,89349
17/02/2020 15:00,0,89350
17/02/2020 14:30,,89351
17/02/2020 14:00,0,89352
17/02/2020 13:30,,89352
17/02/2020 13:00,0,89353
17/02/2020 12:30,,89352
17/02/2020 12:00,0,89352
17/02/2020 11:30,,89350
17/02/2020 11:00,0,89350
17/02/2020 10:30,,89348
17/02/2020 10:00,0,89347
17/02/2020 09:30,,89346
17/02/2020 09:00,0,89345
17/02/2020 08:30,,89345
17/02/2020 08:00,0,89344
17/02/2020 07:30,,89344
17/02/2020 07:00,0,89344
17/02/2020 06:30,,89344
17/02/2020 06:00,0,89343
17/02/2020 05:30,,89344
17/02/2020 05:00,0,89344
17/02/2020 04:30,,89344
17/02/2020 04:00,0,89344
17/02/2020 03:30,,89344
17/02/2020 03:00,0,89344
17/02/2020 02:30,,89344
17/02/2020 02:00,0,89344
17/02/2020 01:30,,89345
17/02/2020 01:00,0,89345
17/02/2020 00:30,,89345
17/02/2020 00:00,,89345
16/02/2020 23:30,,89345
16/02/2020 22:30,,89345
16/02/2020 22:00,0,89345
16/02/2020 21:30,,89345
16/02/2020 21:00,0,89348
16/02/2020 20:30,,89348
16/02/2020 20:00,0,89348
16/02/2020 19:30,,89348
16/02/2020 19:00,0,89348
16/02/2020 18:30,,89348
16/02/2020 18:00,0,89349
16/02/2020 17:30,,89349
16/02/2020 17:00,0,89349
16/02/2020 16:30,,89348
16/02/2020 16:00,0,89345
16/02/2020 15:30,,89344
16/02/2020 15:00,0,89344
16/02/2020 14:30,,89344
16/02/2020 14:00,0,89344
16/02/2020 13:30,,89344
16/02/2020 13:00,0,89344
16/02/2020 12:30,,89344
16/02/2020 12:00,0,89344
16/02/2020 11:30,,89344
16/02/2020 11:00,0,89344
16/02/2020 10:30,,89344
16/02/2020 10:00,0,89344
16/02/2020 09:30,,89344
16/02/2020 09:00,0,89344
16/02/2020 08:30,,89344
16/02/2020 08:00,0,89344
16/02/2020 07:30,,89344
16/02/2020 07:00,0,89344
16/02/2020 06:30,,89344
16/02/2020 06:00,0,89344
16/02/2020 05:30,,89344
16/02/2020 05:00,0,89344
16/02/2020 04:30,,89345
16/02/2020 04:00,0,89345
16/02/2020 03:30,,89345
16/02/2020 03:00,0,89345
16/02/2020 02:30,,89345
16/02/2020 02:00,0,89345
16/02/2020 01:30,,89345
16/02/2020 01:00,0,89345
16/02/2020 00:30,,89345
16/02/2020 00:00,0,89346
15/02/2020 23:30,,89346
15/02/2020 23:00,0,89346
15/02/2020 22:30,,89346
15/02/2020 22:00,0,89346
15/02/2020 21:30,,89346
15/02/2020 21:00,0,89346
15/02/2020 20:30,,89346
15/02/2020 20:00,0,89346
15/02/2020 19:30,,89346
15/02/2020 19:00,0,89346
15/02/2020 18:30,,89347
15/02/2020 18:00,0,89347
15/02/2020 17:30,,89347
15/02/2020 17:00,0,89347
15/02/2020 16:30,,89347
15/02/2020 16:00,0,89347
