Data,Chuva -Maria,Nível-Maria
10/12/2022 16:00,0,89339
10/12/2022 15:00,0,89339
10/12/2022 14:00,0,89340
10/12/2022 13:00,0,89340
10/12/2022 12:00,0,89340
10/12/2022 11:00,0,89341
10/12/2022 10:00,0,89341
10/12/2022 09:00,0,89341
10/12/2022 08:00,0,89341
10/12/2022 07:00,0,89342
10/12/2022 06:00,0,89342
10/12/2022 05:00,0,89342
10/12/2022 02:00,,89344
10/12/2022 01:00,0,89344
10/12/2022 00:00,0,89345
09/12/2022 23:00,0,89345
09/12/2022 22:00,0,89346
09/12/2022 21:00,0,89347
09/12/2022 20:00,0,89347
09/12/2022 19:00,0,89348
09/12/2022 18:00,0,89348
09/12/2022 17:00,0,89348
09/12/2022 16:00,0,89349
09/12/2022 15:00,0,89349
09/12/2022 14:00,0,89351
09/12/2022 13:00,0,89324
09/12/2022 12:00,0,89327
09/12/2022 11:00,0,89334
09/12/2022 10:00,0,89336
09/12/2022 09:00,0,89337
09/12/2022 08:00,0,89338
09/12/2022 07:00,0,89339
09/12/2022 06:00,0,89340
09/12/2022 05:00,0,89340
09/12/2022 04:00,0,89341
09/12/2022 03:00,0,89343
09/12/2022 02:00,0,89344
09/12/2022 01:00,0,89345
09/12/2022 00:00,0,89346
08/12/2022 23:00,,89347
08/12/2022 22:00,0,89348
08/12/2022 21:00,0,89349
08/12/2022 20:00,0,89350
08/12/2022 19:00,0,89346
08/12/2022 18:00,0,89343
08/12/2022 17:00,0,89342
08/12/2022 16:00,0,89313
08/12/2022 15:00,0,89308
08/12/2022 14:00,0,89334
08/12/2022 13:00,0,89317
08/12/2022 12:00,0,89337
08/12/2022 11:00,0,89342
08/12/2022 10:00,0,89347
08/12/2022 09:00,0,89352
08/12/2022 08:00,0,89356
08/12/2022 07:00,0,89361
08/12/2022 06:00,0,89366
08/12/2022 05:00,0,89374
08/12/2022 04:00,0,89382
08/12/2022 03:00,0,89383
08/12/2022 02:00,0,89381
08/12/2022 01:00,0,89384
08/12/2022 00:00,0,89385
07/12/2022 22:00,0,89387
07/12/2022 21:00,0,89398
07/12/2022 20:00,0,89410
07/12/2022 19:00,0,89414
07/12/2022 18:00,0,89405
07/12/2022 17:00,0,89397
07/12/2022 16:00,0,89389
07/12/2022 15:00,0,89375
07/12/2022 14:00,0,89358
07/12/2022 13:00,0,89357
07/12/2022 12:00,0,89360
07/12/2022 11:00,0,89365
07/12/2022 10:00,0,89373
07/12/2022 09:00,0,89380
07/12/2022 08:00,0,89388
07/12/2022 07:00,0,89400
07/12/2022 06:00,0,89408
07/12/2022 05:00,0,89409
07/12/2022 04:00,0,89404
07/12/2022 03:00,0,89405
07/12/2022 02:00,0,89405
07/12/2022 01:00,,89399
07/12/2022 00:00,0,89396
06/12/2022 23:00,0,89390
06/12/2022 22:00,0,89386
06/12/2022 21:00,0,89374
06/12/2022 20:00,0,89366
06/12/2022 19:00,0,89360
06/12/2022 18:00,,89349
06/12/2022 17:00,0,89358
06/12/2022 16:00,0,89362
06/12/2022 15:00,0,89356
06/12/2022 14:00,0,89355
06/12/2022 13:00,0,89356
06/12/2022 12:00,0,89354
06/12/2022 11:00,0,89354
06/12/2022 10:00,0,89355
06/12/2022 09:00,0,89360
06/12/2022 08:00,0,89359
06/12/2022 07:00,0,89354
06/12/2022 06:00,,89352
06/12/2022 05:00,0,89350
06/12/2022 04:00,0,89350
06/12/2022 03:00,0,89351
06/12/2022 02:00,0,89352
06/12/2022 01:00,,89351
06/12/2022 00:00,0,89351
05/12/2022 23:00,0,89353
05/12/2022 22:00,0,89354
05/12/2022 21:00,0,89353
05/12/2022 20:00,0,89353
05/12/2022 19:00,0,89351
05/12/2022 18:00,0,89350
05/12/2022 17:00,0,89350
05/12/2022 16:00,0,89351
05/12/2022 15:00,0,89354
05/12/2022 14:00,0,89351
05/12/2022 13:00,0,89349
05/12/2022 12:00,0,89347
05/12/2022 11:00,0,89344
05/12/2022 10:00,0,89342
05/12/2022 09:00,0,89342
05/12/2022 08:00,0,89341
05/12/2022 07:00,0,89341
05/12/2022 06:00,0,89341
05/12/2022 05:00,0,89340
05/12/2022 04:00,0,89339
05/12/2022 03:00,0,89338
05/12/2022 02:00,0,89336
05/12/2022 01:00,0,89334
05/12/2022 00:00,0,89333
04/12/2022 23:00,0,89331
04/12/2022 22:00,0,89330
04/12/2022 21:00,0,89329
04/12/2022 20:00,0,89326
04/12/2022 19:00,0,89324
04/12/2022 18:00,0,89326
04/12/2022 17:00,0,89328
04/12/2022 16:00,0,89330
04/12/2022 15:00,0,89331
04/12/2022 14:00,0,89333
04/12/2022 13:00,0,89334
04/12/2022 12:00,0,89336
04/12/2022 11:00,0,89338
04/12/2022 10:00,0,89337
04/12/2022 09:00,0,89336
04/12/2022 08:00,0,89336
04/12/2022 07:00,0,89337
04/12/2022 06:00,0,89338
04/12/2022 05:00,0,89338
04/12/2022 04:00,,89337
04/12/2022 03:00,0,89332
04/12/2022 02:00,0,89309
04/12/2022 01:00,0,89325
04/12/2022 00:00,,89333
03/12/2022 23:00,0,89337
03/12/2022 22:00,0,89341
03/12/2022 21:00,0,89332
03/12/2022 20:00,0,89330
03/12/2022 19:00,0,89323
03/12/2022 18:00,0,89323
03/12/2022 17:00,0,89324
03/12/2022 16:00,0,89326
03/12/2022 15:00,0,89327
03/12/2022 14:00,0,89328
03/12/2022 13:00,0,89329
03/12/2022 12:00,0,89331
03/12/2022 11:00,0,89330
03/12/2022 10:00,0,89321
03/12/2022 09:00,0,89322
03/12/2022 08:00,0,89329
03/12/2022 07:00,0,89332
03/12/2022 06:00,0,89333
03/12/2022 05:00,0,89327
03/12/2022 04:00,0,89332
03/12/2022 03:00,0,89336
03/12/2022 02:00,0,89338
03/12/2022 01:00,0,89336
03/12/2022 00:00,0,89338
02/12/2022 23:00,0,89334
02/12/2022 22:00,0,89329
02/12/2022 21:00,0,89329
02/12/2022 20:00,0,89329
02/12/2022 19:00,0,89329
02/12/2022 18:00,0,89334
02/12/2022 17:00,0,89334
02/12/2022 16:00,0,89334
02/12/2022 15:00,0,89334
02/12/2022 14:00,0,89334
02/12/2022 13:00,0,89334
02/12/2022 12:00,0,89331
02/12/2022 11:00,0,89310
02/12/2022 10:00,0,89315
02/12/2022 09:00,0,89321
02/12/2022 08:00,0,89324
02/12/2022 07:00,0,89327
02/12/2022 06:00,0,89328
02/12/2022 05:00,0,89330
02/12/2022 04:00,0,89331
02/12/2022 03:00,0,89332
02/12/2022 02:00,0,89333
02/12/2022 01:00,0,89334
02/12/2022 00:00,0,89335
01/12/2022 23:00,0,89336
01/12/2022 22:00,0,89338
01/12/2022 21:00,0,89339
01/12/2022 20:00,0,89338
01/12/2022 19:00,0,89337
01/12/2022 18:00,0,89339
01/12/2022 17:00,0,89341
01/12/2022 16:00,0,89343
01/12/2022 15:00,0,89349
01/12/2022 14:00,0,89351
01/12/2022 13:00,0,89353
01/12/2022 12:00,0,89355
01/12/2022 11:00,0,89357
01/12/2022 10:00,0,89358
01/12/2022 09:00,0,89361
01/12/2022 08:00,0,89362
01/12/2022 07:00,0,89360
01/12/2022 06:00,0,89357
01/12/2022 05:00,0,89351
01/12/2022 04:00,0,89336
01/12/2022 03:00,0,89335
01/12/2022 02:00,0,89335
01/12/2022 01:00,0,89334
01/12/2022 00:00,0,89334
30/11/2022 23:00,0,89334
30/11/2022 22:00,0,89333
30/11/2022 21:00,0,89334
30/11/2022 20:00,0,89335
30/11/2022 19:00,0,89335
30/11/2022 18:00,0,89336
30/11/2022 17:00,0,89336
30/11/2022 16:00,0,89337
30/11/2022 15:00,0,89337
30/11/2022 14:00,0,89338
30/11/2022 13:00,0,89339
30/11/2022 12:00,0,89339
30/11/2022 11:00,0,89340
30/11/2022 10:00,0,89341
30/11/2022 09:00,0,89342
