Data,Chuva-Itajuba ,Nível-Itajuba
16/02/2020 20:15,0,114
16/02/2020 20:00,0,114
16/02/2020 19:45,0,114
16/02/2020 19:30,0,114
16/02/2020 19:15,0,114
16/02/2020 19:00,0,114
16/02/2020 18:45,0,114
16/02/2020 18:30,0,114
16/02/2020 18:15,0,114
16/02/2020 18:00,0,114
16/02/2020 17:45,0,114
16/02/2020 17:30,0,114
16/02/2020 17:15,0,114
16/02/2020 17:00,0,114
16/02/2020 16:45,0,114
16/02/2020 16:30,0,115
16/02/2020 16:15,0,115
16/02/2020 16:00,0,115
16/02/2020 15:45,0,115
16/02/2020 15:30,0,115
16/02/2020 15:15,0.2,115
16/02/2020 15:00,0.4,115
16/02/2020 14:45,0,115
16/02/2020 14:30,0,115
16/02/2020 14:15,0,115
16/02/2020 14:00,0,115
16/02/2020 13:45,0,115
16/02/2020 13:30,0,115
16/02/2020 13:15,0,116
16/02/2020 13:00,0,115
16/02/2020 12:45,0,116
16/02/2020 12:30,0,116
16/02/2020 12:15,0,116
16/02/2020 12:00,0,116
16/02/2020 11:45,0,116
16/02/2020 11:30,0,116
16/02/2020 11:15,0,117
16/02/2020 11:00,0,117
16/02/2020 10:45,0,117
16/02/2020 10:30,0,117
16/02/2020 10:15,0,117
16/02/2020 10:00,0,117
16/02/2020 09:45,0,117
16/02/2020 09:30,0,118
16/02/2020 09:15,0,118
16/02/2020 09:00,0,118
16/02/2020 08:45,0,118
16/02/2020 08:30,0,118
16/02/2020 08:15,0,118
16/02/2020 08:00,0,119
16/02/2020 07:45,0,119
16/02/2020 07:30,0,119
16/02/2020 07:15,0,119
16/02/2020 07:00,0,119
16/02/2020 06:45,0,120
16/02/2020 06:30,0,119
16/02/2020 06:15,0,120
16/02/2020 06:00,0,120
16/02/2020 05:45,0,120
16/02/2020 05:30,0,121
16/02/2020 05:15,0,121
16/02/2020 05:00,0,121
16/02/2020 04:45,0,122
16/02/2020 04:30,0,122
16/02/2020 04:15,0,122
16/02/2020 04:00,0,122
16/02/2020 03:45,0,123
16/02/2020 03:30,0,123
16/02/2020 03:15,0,123
16/02/2020 03:00,0,123
16/02/2020 02:45,0,123
16/02/2020 02:30,0,124
16/02/2020 02:15,0,124
16/02/2020 02:00,0,124
16/02/2020 01:45,0,124
16/02/2020 01:30,0,124
16/02/2020 01:15,0,124
16/02/2020 01:00,0,125
16/02/2020 00:45,0,125
16/02/2020 00:30,0,126
16/02/2020 00:15,0,125
16/02/2020 00:00,0,126
15/02/2020 23:45,0,126
15/02/2020 23:30,0,126
15/02/2020 23:15,0,126
15/02/2020 23:00,0,126
15/02/2020 22:45,0,126
15/02/2020 22:30,0,126
15/02/2020 22:15,0,126
15/02/2020 22:00,0,126
15/02/2020 21:45,0,126
15/02/2020 21:30,0,127
15/02/2020 21:15,0,127
15/02/2020 21:00,0,127
15/02/2020 20:45,0,127
15/02/2020 20:30,0,128
15/02/2020 20:15,0,128
15/02/2020 20:00,0,128
15/02/2020 19:45,0,128
15/02/2020 19:30,0,129
15/02/2020 19:15,0,129
15/02/2020 19:00,0,129
15/02/2020 18:45,0,129
15/02/2020 18:30,0,130
15/02/2020 18:15,0,130
15/02/2020 18:00,0,131
15/02/2020 17:45,0,131
15/02/2020 17:30,0,131
15/02/2020 17:15,0,132
15/02/2020 17:00,0,132
15/02/2020 16:45,0,132
15/02/2020 16:30,0,133
15/02/2020 16:15,0,133
15/02/2020 16:00,0,133
15/02/2020 15:45,0,133
15/02/2020 15:30,0,133
15/02/2020 15:15,0,133
15/02/2020 15:00,0,133
15/02/2020 14:45,0,133
15/02/2020 14:30,0,133
15/02/2020 14:15,0,133
15/02/2020 14:00,0,133
15/02/2020 13:45,0,132
15/02/2020 13:30,0,132
15/02/2020 13:15,0,131
15/02/2020 13:00,0,131
15/02/2020 12:45,0,131
15/02/2020 12:30,0,131
15/02/2020 12:15,0,130
15/02/2020 12:00,0,130
15/02/2020 11:45,0,130
15/02/2020 11:30,0,130
15/02/2020 11:15,0,130
15/02/2020 11:00,0,130
15/02/2020 10:45,0,130
15/02/2020 10:30,0,130
15/02/2020 10:15,0,130
15/02/2020 10:00,0,130
15/02/2020 09:45,0,130
15/02/2020 09:30,0,130
15/02/2020 09:15,0,131
15/02/2020 09:00,0,131
15/02/2020 08:45,0,131
15/02/2020 08:30,0,131
15/02/2020 08:15,0,131
15/02/2020 08:00,0,131
15/02/2020 07:45,0,132
15/02/2020 07:30,0,132
15/02/2020 07:15,0,132
15/02/2020 07:00,0,132
15/02/2020 06:45,0,132
15/02/2020 06:30,0,132
15/02/2020 06:15,0,133
15/02/2020 06:00,0,133
15/02/2020 05:45,0,133
15/02/2020 05:30,0,133
15/02/2020 05:15,0,133
15/02/2020 05:00,0,134
15/02/2020 04:45,0,134
15/02/2020 04:30,0,134
15/02/2020 04:15,0,134
15/02/2020 04:00,0,135
15/02/2020 03:45,0,135
15/02/2020 03:30,0,136
15/02/2020 03:15,0,136
15/02/2020 03:00,0,136
15/02/2020 02:45,0,136
15/02/2020 02:30,0,137
15/02/2020 02:15,0,137
15/02/2020 02:00,0,138
15/02/2020 01:45,0,138
15/02/2020 01:30,0,138
15/02/2020 01:15,0,139
15/02/2020 01:00,0,139
15/02/2020 00:45,0,139
15/02/2020 00:30,0,140
15/02/2020 00:15,0,140
15/02/2020 00:00,0,141
14/02/2020 23:45,0,142
14/02/2020 23:30,0,142
14/02/2020 23:15,0,143
14/02/2020 23:00,0,143
14/02/2020 22:45,0,144
14/02/2020 22:30,0,144
14/02/2020 22:15,0,145
14/02/2020 22:00,0,145
14/02/2020 21:45,0,145
14/02/2020 21:30,0,146
14/02/2020 21:15,0,146
14/02/2020 21:00,0,146
14/02/2020 20:45,0,147
14/02/2020 20:30,0,147
14/02/2020 20:15,0,148
14/02/2020 20:00,0,148
14/02/2020 19:45,0,148
14/02/2020 19:30,0,149
14/02/2020 19:15,0,149
14/02/2020 19:00,0,150
14/02/2020 18:45,0,150
14/02/2020 18:30,0,151
14/02/2020 18:15,0,152
14/02/2020 18:00,0,152
14/02/2020 17:45,0,153
14/02/2020 17:30,0,153
14/02/2020 17:15,0,154
14/02/2020 17:00,0,155
14/02/2020 16:45,0,155
14/02/2020 16:30,0,156
14/02/2020 16:15,0,156
14/02/2020 16:00,0,158
14/02/2020 15:45,0,158
14/02/2020 15:30,0,159
14/02/2020 15:15,0,160
14/02/2020 15:00,0,161
14/02/2020 14:45,0,161
14/02/2020 14:30,0,162
14/02/2020 14:15,0,163
14/02/2020 14:00,0,164
14/02/2020 13:45,0,164
14/02/2020 13:30,0,165
14/02/2020 13:15,0,166
14/02/2020 13:00,0,167
14/02/2020 12:45,0,167
14/02/2020 12:30,0,167
14/02/2020 12:15,0,168
14/02/2020 12:00,0,169
14/02/2020 11:45,0,169
14/02/2020 11:30,0,170
14/02/2020 11:15,0,170
14/02/2020 11:00,0,170
14/02/2020 10:45,0,171
14/02/2020 10:30,0,171
14/02/2020 10:15,0,172
14/02/2020 10:00,0,172
14/02/2020 09:45,0,172
14/02/2020 09:30,0,172
14/02/2020 09:15,0,173
14/02/2020 09:00,0,173
14/02/2020 08:45,0,174
14/02/2020 08:30,0,175
14/02/2020 08:15,0,175
14/02/2020 08:00,0,176
14/02/2020 07:45,0,177
14/02/2020 07:30,0,178
14/02/2020 07:15,0,179
14/02/2020 07:00,0,181
14/02/2020 06:45,0,182
14/02/2020 06:30,0,184
14/02/2020 06:15,0,186
14/02/2020 06:00,0,188
14/02/2020 05:45,0,190
14/02/2020 05:30,0,192
14/02/2020 05:15,0,194
14/02/2020 05:00,0,196
14/02/2020 04:45,0,198
14/02/2020 04:30,0,201
14/02/2020 04:15,0,203
14/02/2020 04:00,0,206
14/02/2020 03:45,0,208
14/02/2020 03:30,0,209
14/02/2020 03:15,0,211
14/02/2020 03:00,0,213
14/02/2020 02:45,0,215
14/02/2020 02:30,0,216
14/02/2020 02:15,0,217
14/02/2020 02:00,0,218
14/02/2020 01:45,0,217
14/02/2020 01:30,0,217
14/02/2020 01:15,0,215
14/02/2020 01:00,0,214
14/02/2020 00:45,0,211
14/02/2020 00:30,0,209
14/02/2020 00:15,0,205
14/02/2020 00:00,0,202
13/02/2020 23:45,0,198
13/02/2020 23:30,0,194
13/02/2020 23:15,0,191
13/02/2020 23:00,0,187
13/02/2020 22:45,0,184
13/02/2020 22:30,0,182
13/02/2020 22:15,0,179
13/02/2020 22:00,0,177
13/02/2020 21:45,0,176
13/02/2020 21:30,0,175
13/02/2020 21:15,0,175
13/02/2020 21:00,0,175
13/02/2020 20:45,0,174
13/02/2020 20:30,0,174
13/02/2020 20:15,0,174
13/02/2020 20:00,0,174
13/02/2020 19:45,0,174
13/02/2020 19:30,0,175
13/02/2020 19:15,0,175
13/02/2020 19:00,0,176
13/02/2020 18:45,1,176
13/02/2020 18:30,1.8,176
13/02/2020 18:15,0,176
13/02/2020 18:00,0,177
13/02/2020 17:45,0,177
13/02/2020 17:30,0,178
13/02/2020 17:15,0,179
13/02/2020 17:00,0,179
13/02/2020 16:45,0,180
13/02/2020 16:30,0,180
13/02/2020 16:15,0,181
13/02/2020 16:00,0,181
13/02/2020 15:45,0,182
13/02/2020 15:30,0,183
13/02/2020 15:15,0,184
13/02/2020 15:00,0,185
13/02/2020 14:45,0,185
13/02/2020 14:30,0,186
13/02/2020 14:15,0,186
13/02/2020 14:00,0,188
13/02/2020 13:45,0,188
13/02/2020 13:30,0,190
13/02/2020 13:15,0,190
13/02/2020 13:00,0,191
13/02/2020 12:45,0,192
13/02/2020 12:30,0,192
13/02/2020 12:15,0,194
13/02/2020 12:00,0,195
13/02/2020 11:45,0,195
13/02/2020 11:30,0,196
13/02/2020 11:15,0,198
13/02/2020 11:00,0,199
13/02/2020 10:45,0,199
13/02/2020 10:30,0,200
13/02/2020 10:15,0,202
13/02/2020 10:00,0,203
13/02/2020 09:45,0,204
